Wall time,Step,Value
1745992041.9613907,58766,-1.3569538593292236
1745992133.512473,58865,-1.0364127159118652
1745992312.0962431,59057,-1.1191511154174805
1745992720.9432905,59485,-1.1950348615646362
1745992782.4513187,59553,-1.1095510721206665
1745993193.0782287,60001,-1.1754395961761475
1745993449.267239,60280,-1.0963172912597656
1745993619.598759,60431,-1.1053874492645264
1745994113.042258,60958,-1.0067814588546753
1745994528.6289172,61398,-1.0515666007995605
1745994855.75743,61742,-0.975100040435791
1745995011.0700715,61904,-1.201059341430664
1745995119.1816368,61990,-1.095093846321106
1745995185.1412013,62052,-1.1004761457443237
1745995462.0241852,62344,-1.1342716217041016
1745995501.284273,62386,-1.1466846466064453
1745995936.602911,62820,-1.0864005088806152
1745996074.4967372,62968,-1.0574870109558105
1745996633.2176638,63568,-1.0826339721679688
1745996683.2219641,63622,-1.0404508113861084
1745996743.9996972,63687,-1.0509246587753296
1745996946.8593044,63905,-1.041387677192688
1745997119.461622,64091,-1.1158347129821777
1745997498.5379775,64499,-1.1009730100631714
1745997892.0463204,64894,-1.1388070583343506
1745997923.5421243,64928,-1.1104636192321777
1745998291.108032,65325,-1.1327219009399414
1745998376.4455698,65417,-1.246674656867981
1745998402.4470875,65445,-1.0739712715148926
1745998506.9572399,65558,-1.1075668334960938
1745998623.6281667,65684,-1.0935156345367432
1745998658.8475971,65722,-1.1794631481170654
1745998768.9967735,65841,-1.1227999925613403
1745998784.8537953,65858,-1.2397184371948242
1745998854.3633664,65933,-1.1146092414855957
1745998875.7129426,65956,-1.047329068183899
1745998904.3892527,65987,-1.1035716533660889
1745999107.3463573,66210,-1.183259129524231
1745999125.3679097,66230,-1.1366212368011475
1745999137.9460857,66244,-1.2446939945220947
1745999181.2380865,66292,-1.1035135984420776
1745999376.5078025,66509,-1.195595622062683
1745999505.1407938,66652,-1.3104265928268433
1745999516.0600095,66664,-1.180119276046753
1745999557.1074853,66680,-1.1472196578979492
1745999612.9648702,66742,-1.1155887842178345
1746000105.0631685,67281,-1.1641877889633179
1746000300.9647162,67511,-1.1504141092300415
1746000311.2113206,67523,-1.0848782062530518
1746000574.961294,67834,-1.203060269355774
1746000629.2869225,67898,-1.1473199129104614
1746000711.8585508,67994,-1.0576092004776
1746000876.7626338,68188,-1.0869616270065308
1746001088.8780472,68438,-1.1233782768249512
1746001104.2097528,68456,-1.1011683940887451
1746001215.1716444,68587,-1.2407505512237549
1746001242.309197,68619,-1.2184933423995972
1746001448.5786896,68826,-1.1683058738708496
1746001658.4874673,69066,-1.0644044876098633
1746001805.660898,69234,-1.188197135925293
1746002001.55672,69460,-1.044374942779541
1746002061.7682493,69529,-1.1348917484283447
1746002161.3355489,69640,-1.0398492813110352
1746002192.3376222,69675,-1.2375296354293823
1746002320.8591368,69822,-1.1126446723937988
1746002647.7060792,70195,-1.0086865425109863
1746002790.1712806,70360,-1.0739483833312988
1746002985.489924,70588,-1.021892786026001
1746002989.7097387,70593,-1.0376057624816895
1746003027.7244582,70637,-1.1489709615707397
1746003257.015171,70875,-1.0447947978973389
1746003323.347031,70951,-1.2057100534439087
1746003329.3888566,70958,-1.1626977920532227
1746003435.837606,71081,-1.139905571937561
1746003503.2961934,71159,-1.3320527076721191
1746003544.0609055,71206,-1.1298916339874268
1746003587.6617131,71256,-1.1210370063781738
1746003992.0952592,71694,-1.2331795692443848
1746004111.976113,71833,-1.1338250637054443
1746004583.969291,72289,-1.2548638582229614
1746004833.961737,72550,-1.2413146495819092
1746004867.444088,72585,-1.1077420711517334
1746005405.1497645,73124,-1.0284758806228638
1746005474.417612,73204,-1.021437406539917
1746005508.1970751,73242,-1.0925838947296143
1746005693.073657,73453,-1.0736119747161865
1746005792.035813,73565,-1.173557996749878
1746005899.7318122,73686,-1.111290454864502
1746006039.3452084,73838,-1.182140827178955
1746006107.4791994,73915,-1.1423234939575195
1746006113.4528227,73922,-1.1617193222045898
1746006131.4959357,73943,-1.2677032947540283
1746006213.3626835,74036,-1.2635424137115479
1746006351.359177,74192,-1.3816049098968506
1746006883.6276383,74756,-1.227259874343872
1746007157.496231,75005,-0.8243720531463623
1746007272.4138327,75110,-1.0555387735366821
1746007311.2745175,75146,-1.0598934888839722
1746007351.7182314,75184,-1.050570011138916
1746007373.2691948,75205,-1.0833666324615479
1746007536.3391874,75369,-1.0151242017745972
1746007600.6574552,75442,-1.067029595375061
1746007649.0007246,75497,-1.1063787937164307
1746007708.6858122,75565,-1.050641417503357
1746008299.6968427,76219,-1.1067308187484741
1746008579.8640485,76531,-1.0482934713363647
1746008815.6165261,76793,-1.0843600034713745
1746009015.0662007,77012,-1.0324203968048096
1746009534.6156368,77558,-1.0848402976989746
1746009581.0864012,77609,-1.104372262954712
1746009768.1356804,77806,-1.031386137008667
1746009906.3367147,77950,-1.2592906951904297
1746010051.137564,78089,-1.0735055208206177
1746010107.7073836,78144,-1.147979497909546
1746010150.4144084,78186,-1.1241977214813232
1746010189.32489,78229,-1.3012275695800781
1746010295.9624023,78352,-1.0647406578063965
1746010358.7300758,78423,-1.0505601167678833
1746010369.4070265,78435,-1.1313014030456543
1746010504.1279275,78590,-1.1104159355163574
1746010971.450589,79060,-1.1360739469528198
1746011104.3929293,79178,-1.1228135824203491
1746011150.299348,79230,-1.162316083908081
1746011428.9626398,79554,-1.15290367603302
1746011696.4107778,79865,-1.1387484073638916
1746012218.5109994,80473,-1.088687777519226
1746012235.9141512,80493,-1.0931090116500854
1746013226.2961657,81615,-1.07470703125
1746013317.9006958,81721,-1.0818593502044678
1746013972.4517808,82482,-1.1129791736602783
1746014036.726156,82557,-1.0964034795761108
1746014200.371881,82748,-1.215378761291504
1746014546.070631,83150,-0.992518424987793
1746014568.6874797,83176,-1.2410695552825928
1746014696.1106453,83324,-1.0864739418029785
1746015126.477958,83795,-1.1363904476165771
1746015220.5465539,83904,-1.0662119388580322
1746015294.32186,83989,-0.9729828834533691
1746015337.1044884,84039,-1.0720019340515137
1746015561.2053301,84281,-1.0675362348556519
1746016027.609448,84822,-1.0705463886260986
1746016058.4467297,84858,-1.0536354780197144
1746016290.584394,85127,-1.0691226720809937
1746016570.2288737,85420,-0.75954669713974
1746016729.1407123,85605,-1.069521427154541
1746016883.1321948,85784,-1.0385375022888184
1746017268.3357906,86222,-1.1675585508346558
1746017423.0277402,86402,-1.1089258193969727
1746017439.3098319,86421,-1.1027979850769043
1746017643.3126395,86658,-1.3080644607543945
1746017693.0398405,86716,-1.0598070621490479
1746017822.7650015,86867,-1.2581965923309326
1746017845.9560614,86894,-1.1185177564620972
1746017884.6143959,86939,-1.1566741466522217
1746018212.9716213,87321,-1.0988929271697998
1746018567.1093326,87688,-1.0640971660614014
1746018658.779455,87794,-1.0271061658859253
1746018758.5772357,87909,-1.0464484691619873
1746018921.976772,88097,-1.0288724899291992
1746019032.9994864,88224,-1.0478280782699585
1746019321.6831298,88557,-0.9970852732658386
1746019559.6468403,88832,-1.0488922595977783
1746020096.6275308,89446,-1.0593914985656738
1746020423.2481823,89753,-1.059073567390442
1746020702.1258261,90044,-1.0082831382751465
1746020795.4139252,90141,-1.1844180822372437
1746020825.5953946,90172,-1.1810563802719116
1746020841.58963,90189,-1.0037087202072144
1746021212.9383245,90577,-0.9982928037643433
1746021219.4800556,90584,-1.011601448059082
1746021434.4304018,90806,-1.0018582344055176
1746021449.8741727,90822,-1.199393630027771
1746021524.6182337,90900,-1.0381557941436768
1746021614.456656,90993,-1.1082507371902466
1746022003.727708,91420,-1.080456256866455
1746022302.3299763,91737,-1.0388412475585938
1746022399.764526,91850,-1.0552467107772827
1746022523.6632824,91993,-1.1637518405914307
1746022711.0899928,92187,-1.0376310348510742
1746022775.6855206,92253,-1.254088282585144
1746022776.6545157,92254,-1.2264622449874878
1746022781.3391833,92259,-1.0544586181640625
1746022788.0119014,92266,-1.0807512998580933
1746023244.0465996,92751,-1.1042494773864746
1746023311.6263444,92823,-1.073116660118103
1746023815.2839413,93355,-1.1271605491638184
1746024156.2987256,93715,-1.0980303287506104
1746024232.034673,93759,-1.1403988599777222
1746024239.525328,93767,-1.024198293685913
1746024466.5794716,94005,-1.07637357711792
1746024474.0943687,94013,-1.0867509841918945
1746024618.1951447,94165,-1.059950828552246
1746024903.3425908,94471,-1.1681873798370361
1746025278.411838,94873,-1.0686476230621338
1746025475.0724688,95084,-0.9499392509460449
1746025614.6209726,95237,-0.978469729423523
1746026020.8749802,95688,-1.0131781101226807
1746026101.8328333,95778,-1.2286297082901
1746026461.2434454,96148,-1.0260692834854126
1746027123.3596056,96883,-1.0379822254180908
1746027241.5879626,97014,-1.053646206855774
1746028040.7377613,97901,-1.3197917938232422
1746028640.8302643,98539,-1.3636786937713623
1746028736.135776,98645,-1.1607662439346313
1746029101.4647038,99051,-1.2985827922821045
1746029117.2222192,99068,-1.0703299045562744
1746029147.585788,99102,-1.034612774848938
1746029167.9241972,99124,-1.1940083503723145
1746029363.4872286,99341,-1.0190918445587158
1746029434.463668,99420,-1.0942280292510986
1746030201.2392125,100240,-1.0065927505493164
1746030308.475693,100359,-1.1724321842193604
1746030372.8844318,100431,-1.0269936323165894
1746030577.1213422,100658,-1.0014026165008545
1746030701.287391,100796,-1.0588293075561523
1746030825.4592123,100934,-1.3878268003463745
1746030974.8027763,101100,-1.125533938407898
1746031042.0662825,101175,-1.2081692218780518
1746031168.3595285,101315,-1.0727133750915527
1746031343.1547587,101501,-1.1094163656234741
1746031477.563026,101642,-1.006548285484314
1746031868.7614038,102052,-1.0403859615325928
1746031997.6720512,102161,-1.1042876243591309
1746032002.0708435,102166,-1.0230939388275146
1746032075.2327406,102247,-1.0766394138336182
